,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix,year
36,36,"Other trucks, buses and truck trailers",119548128283.44501,ET12,0.17250,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Transportation Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.21273,0.26173,0.24605,0.86836,0.74837,0.78299,2020
37,37,Autos,136239832218.22234,ET20,0.33330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Transportation Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.37353,0.42253,0.40685,0.92725,0.85178,0.87456,2020
38,38,Aircraft,265994401126.70795,ET30,0.08590,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Transportation Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.12613,0.17513,0.15945,0.76662,0.59694,0.64244,2020
39,39,Ships and boats,62839620240.34708,ET40,0.06110,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Transportation Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.10133,0.15033,0.13465,0.70029,0.51301,0.56102,2020
40,40,Railroad equipment,109045484546.04863,ET50,0.05890,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Transportation Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.09913,0.14813,0.13245,0.69253,0.50385,0.55197,2020
41,41,Theatrical movies,157833245541.22495,AE10,0.09300,0.24782,0.33362,0.30616,Intellectual Property,-0.21369,0.31108,0.22266,0.41029,0.55010,0.52654,Intellectual Property,0.03625,0.08419,0.06885,corporate,0.01487,0.04631,0.03625,0.12925,0.17719,0.16185,0.78053,0.61589,0.66047,2020
42,42,Long-lived television programs,144610873939.53967,AE20,0.16800,0.23968,0.32548,0.29802,Intellectual Property,-0.30374,0.28996,0.19332,0.36654,0.53631,0.50867,Intellectual Property,0.03375,0.08169,0.06635,corporate,0.01237,0.04381,0.03375,0.20175,0.24969,0.23435,0.86531,0.74336,0.77847,2020
43,43,Books,67646468506.09869,AE30,0.12100,0.24478,0.33058,0.30312,Intellectual Property,-0.24582,0.30334,0.21196,0.39468,0.54504,0.52002,Intellectual Property,0.03532,0.08325,0.06792,corporate,0.01394,0.04538,0.03532,0.15632,0.20425,0.18892,0.82229,0.67598,0.71679,2020
44,44,Music,15406510045.76745,AE40,0.26700,0.22894,0.31474,0.28728,Intellectual Property,-0.44527,0.26002,0.15103,0.29777,0.51675,0.48291,Intellectual Property,0.03044,0.07838,0.06304,corporate,0.00907,0.04050,0.03044,0.29744,0.34538,0.33004,0.91080,0.82154,0.84814,2020
45,45,Other entertainment originals,15413496806.38999,AE50,0.10900,0.24609,0.33188,0.30443,Intellectual Property,-0.23184,0.30668,0.21658,0.40147,0.54722,0.52284,Intellectual Property,0.03572,0.08366,0.06832,corporate,0.01434,0.04578,0.03572,0.14472,0.19266,0.17732,0.80651,0.65269,0.69512,2020
46,46,Own account software,198787829234.10889,ENS3,0.33000,0.22211,0.30790,0.28045,Intellectual Property,-0.55253,0.23962,0.12173,0.24565,0.50343,0.46506,Intellectual Property,0.02834,0.07628,0.06094,corporate,0.00696,0.03840,0.02834,0.35834,0.40628,0.39094,0.92658,0.85052,0.87346,2020
47,47,Pharmaceutical and medicine manufacturing,396355589473.99658,RD11,0.10000,0.24706,0.33286,0.30540,Intellectual Property,-0.22157,0.30916,0.22001,0.40646,0.54884,0.52493,Intellectual Property,0.03602,0.08396,0.06862,corporate,0.01464,0.04608,0.03602,0.13602,0.18396,0.16862,0.79271,0.63291,0.67655,2020
48,48,"Chemical manufacturing, ex. pharma and med",54399224281.00928,RD12,0.16000,0.24055,0.32635,0.29889,Intellectual Property,-0.29350,0.29228,0.19656,0.37151,0.53782,0.51064,Intellectual Property,0.03402,0.08195,0.06661,corporate,0.01264,0.04408,0.03402,0.19402,0.24195,0.22661,0.85952,0.73394,0.76994,2020
49,49,Computers and peripheral equipment manufacturing,9567048384.83953,RD21,0.40000,0.21451,0.30031,0.27285,Intellectual Property,-0.69205,0.21559,0.08670,0.17786,0.48773,0.44373,Intellectual Property,0.02600,0.07394,0.05860,corporate,0.00463,0.03606,0.02600,0.42600,0.47394,0.45860,0.93864,0.87336,0.89324,2020
50,50,Communications equipment manufacturing,38393784818.88548,RD22,0.27000,0.22862,0.31441,0.28696,Intellectual Property,-0.45004,0.25908,0.14968,0.29545,0.51613,0.48209,Intellectual Property,0.03034,0.07828,0.06294,corporate,0.00897,0.04040,0.03034,0.30034,0.34828,0.33294,0.91170,0.82317,0.84957,2020
51,51,Semiconductor and other component manufacturing,83580996525.44339,RD23,0.25000,0.23079,0.31658,0.28913,Intellectual Property,-0.41882,0.26534,0.15860,0.31062,0.52023,0.48753,Intellectual Property,0.03101,0.07895,0.06361,corporate,0.00963,0.04107,0.03101,0.28101,0.32895,0.31361,0.90531,0.81169,0.83947,2020
52,52,Navigational and other instruments manufacturing,30814085765.72150,RD24,0.29000,0.22645,0.31224,0.28479,Intellectual Property,-0.48267,0.25270,0.14056,0.27960,0.51197,0.47654,Intellectual Property,0.02968,0.07761,0.06227,corporate,0.00830,0.03974,0.02968,0.31968,0.36761,0.35227,0.91729,0.83333,0.85848,2020
